label,text
Dengue,Fever with intense joint pain nausea vomiting and fatigue. it's mild but persistent. I noticed this around 13 days back.
Hypertension,I have frequent headaches dizziness and my blood pressure readings are high. I haven't been sleeping well because of this. This has been going on for 7 weeks now.
Acne,persistent acne on face and back with scarring from old breakouts. it fluctuates throughout the day. it started 11 days ago and hasn't improved.
Common Cold,Stuffy nose with clear watery discharge and scratchy throat. it fluctuates throughout the day. I tried home remedies but nothing helps. I've been feeling this way for about 6 days.
Acne,Deep painful cysts under the skin with multiple blackheads on nose. it's moderate in intensity. This has been going on for 11 weeks now.
Common Cold,Runny nose sore throat and general feeling of being unwell. it's moderate in intensity. This has been going on for 7 weeks now.
Malaria,recurring fever every two days with shaking chills and body aches. it's getting progressively worse. my appetite has decreased.
Hypertension,frequent dizziness headaches and shortness of breath on exertion. my appetite has decreased. the symptoms are worsening daily.
Migraine,Pounding headache with extreme light sensitivity and need to lie in dark room. it's mild but persistent. I noticed this around 8 days back.
Common Cold,runny nose sore throat and general feeling of being unwell.
Acne,hormonal breakouts along jawline with deep nodular lesions. this has been going on for 2 weeks now. i haven't been sleeping well because of this.
Pneumonia,Chest tightness with painful breathing rapid heartbeat and cough with phlegm. My family member had similar symptoms. I noticed this around 14 days back. it's quite severe.
Varicose veins,bulging blue purple veins on my calves with occasional cramping at night. it's getting progressively worse.
Fungal infection,My feet have peeling itchy skin between the toes with a bad smell. it fluctuates throughout the day. It started 4 days ago and hasn't improved.
Hypertension,Feeling of pressure in my head with fatigue and elevated BP readings. I've been feeling this way for about 1 days.
drug reaction,I developed a rash and itching all over after starting a new medication.
Typhoid,high grade fever with headache lethargy and greenish loose stools. the symptoms are worsening daily. this is the first time i've had this.
peptic ulcer disease,Burning abdominal pain with loss of appetite and unintentional weight loss. I had something similar years ago. I've been feeling this way for about 11 days.
Common Cold,nasal congestion watery eyes and occasional sneezing fits. i've been feeling this way for about 11 days.
allergy,nasal congestion with itchy watery eyes and scratchy throat from pet dander. it's affecting my daily routine. it's mild but persistent.
Fungal infection,Circular rash with clear center and red scaly border on my torso. it comes and goes.
Common Cold,persistent sneezing with congestion and post-nasal drip. i noticed this around 14 days back.
Psoriasis,"i have red, scaly patches on my elbows and knees that are very itchy. i also feel generally unwell. it started 1 days ago and hasn't improved."
Psoriasis,My nails have become pitted and ridged and I have plaques on my arms. I've been feeling this way for about 5 days.
Impetigo,crusty skin lesions near mouth and chin that appeared after a scratch.
Migraine,Pounding headache with extreme light sensitivity and need to lie in dark room. I've been more tired than usual. it's quite severe.
peptic ulcer disease,recurring gnawing abdominal pain with nausea and feeling of fullness. it's getting progressively worse. i've been feeling this way for about 11 days. i'm quite worried about it.
Common Cold,runny nose sore throat and general feeling of being unwell. it started 6 days ago and hasn't improved. it's quite severe.
Chicken pox,Clusters of blisters at different stages with extreme itchiness and tiredness. This has been going on for 11 weeks now. it's getting progressively worse.
peptic ulcer disease,burning abdominal pain with loss of appetite and unintentional weight loss. it comes and goes. i've been feeling this way for about 7 days.
Fungal infection,i have circular red patches on my skin with raised edges that are itchy. i noticed this around 11 days back.
allergy,allergic reaction with swollen lips itching and red blotchy skin. i noticed this around 9 days back. it's moderate in intensity.
diabetes,Increased appetite with weight loss blurry vision and slow wound healing. it's moderate in intensity. My family member had similar symptoms. I noticed this around 7 days back.
gastroesophageal reflux disease,Burning sensation in my chest after eating with acid taste in mouth. My family member had similar symptoms.
Common Cold,Nasal congestion watery eyes and occasional sneezing fits. I tried home remedies but nothing helps. I noticed this around 12 days back.
Fungal infection,My feet have peeling itchy skin between the toes with a bad smell. I've been feeling this way for about 9 days.
Chicken pox,clusters of blisters at different stages with extreme itchiness and tiredness. it's quite severe. this is the first time i've had this.
Impetigo,Small blisters that break open and weep fluid forming thick crusts. it's mild but persistent.
Varicose veins,bulging blue purple veins on my calves with occasional cramping at night. this has been going on for 9 weeks now. it's mild but persistent.
Chicken pox,clusters of blisters at different stages with extreme itchiness and tiredness. i've been feeling this way for about 9 days. it comes and goes.
allergy,I have watery eyes runny nose sneezing and itchy throat after exposure to dust. it's quite severe.
Varicose veins,I have throbbing pain in my legs with spider veins spreading on my shins. It started 14 days ago and hasn't improved. My appetite has decreased.
Pneumonia,Severe cough with greenish phlegm high fever and chest pain when breathing. It's affecting my daily routine. I noticed this around 2 days back.
Arthritis,joint pain and stiffness that gets worse with cold weather and inactivity. it started 1 days ago and hasn't improved.
Dimorphic hemorrhoids(piles),burning sensation with blood in stool and tender lumps near rectum. it started 14 days ago and hasn't improved.
Pneumonia,i can barely breathe with fever chills and coughing up thick mucus.
Typhoid,i've had fever for days with constipation then diarrhea and rose spots on chest. i had something similar years ago.
diabetes,unexplained weight loss with constant hunger tiredness and blurred vision. it fluctuates throughout the day. i noticed this around 5 days back.
Varicose veins,My ankles swell by evening and I can see enlarged veins on my thighs. I noticed this around 2 days back.
Varicose veins,Bulging blue purple veins on my calves with occasional cramping at night. My family member had similar symptoms. I've been feeling this way for about 14 days. it fluctuates throughout the day.
Pneumonia,difficulty breathing with productive cough fever and sharp chest pain. it comes and goes.
Chicken pox,Small fluid-filled blisters appeared on my chest face and back with itching. I noticed this around 3 days back.
Varicose veins,my ankles swell by evening and i can see enlarged veins on my thighs. i noticed this around 12 days back. the symptoms are worsening daily.
urinary tract infection,urgency to urinate with dysuria and suprapubic discomfort. it's getting progressively worse. this has been going on for 2 weeks now.
Malaria,High fever with rigors profuse sweating and extreme fatigue. I've been feeling this way for about 13 days.
diabetes,Constant fatigue with increased hunger frequent urination and blurry vision. it fluctuates throughout the day. It started 4 days ago and hasn't improved.
Impetigo,Spreading sores with yellow scabs on face that are mildly itchy. This has been going on for 9 weeks now.
Jaundice,My urine is very dark and skin looks yellowish with loss of appetite. it's quite severe. I've been feeling this way for about 9 days. My appetite has decreased.
Typhoid,I've had fever for days with constipation then diarrhea and rose spots on chest. it's quite severe. It started 4 days ago and hasn't improved.
Arthritis,My joints are stiff and painful especially in the morning and it takes hours to loosen up. I've been feeling this way for about 9 days.
gastroesophageal reflux disease,burning sensation in my chest after eating with acid taste in mouth. i've been feeling this way for about 3 days. it fluctuates throughout the day.
drug reaction,Hives and swelling with itching that started after medication change. It started 3 days ago and hasn't improved. I tried home remedies but nothing helps. it's mild but persistent.
Chicken pox,i have itchy red blisters all over my body with mild fever. i tried home remedies but nothing helps.
gastroesophageal reflux disease,Burning in upper abdomen and chest with acidic taste especially at night. I've been feeling this way for about 12 days. I've been more tired than usual.
Bronchial Asthma,tight chest with shortness of breath and whistling sound when exhaling. it started 11 days ago and hasn't improved. it's affecting my daily routine.
Arthritis,My knees and fingers are swollen tender and difficult to move. the symptoms are worsening daily. I noticed this around 12 days back.
Dimorphic hemorrhoids(piles),pain during bowel movements with bright red blood and anal swelling. it comes and goes. my family member had similar symptoms.
Dengue,High fever for three days with extreme fatigue joint pain and nausea. I haven't been sleeping well because of this. I've been feeling this way for about 1 days. it comes and goes.
Common Cold,runny nose sore throat and general feeling of being unwell. my appetite has decreased. this has been going on for 9 weeks now.
gastroesophageal reflux disease,Persistent heartburn with globus sensation and epigastric burning. it's mild but persistent. I haven't been sleeping well because of this.
Hypertension,frequent dizziness headaches and shortness of breath on exertion. i've been feeling this way for about 1 days.
Arthritis,Bilateral joint swelling with tenderness and difficulty gripping objects. I'm quite worried about it. it's moderate in intensity. This has been going on for 3 weeks now.
urinary tract infection,i need to urinate constantly but only small amounts come out with burning. i noticed this around 9 days back. it fluctuates throughout the day. i also feel generally unwell.
Dengue,severe fever with break-bone pain rash and swollen lymph nodes. my family member had similar symptoms.
Typhoid,week-long fever with coated tongue muscle pain and general malaise. it's mild but persistent. i noticed this around 3 days back.
Acne,red inflamed papules and pustules on cheeks with excess oil production. it started 6 days ago and hasn't improved.
Typhoid,Fever that won't go down with poor appetite nausea and abdominal tenderness. I had something similar years ago.
Migraine,unilateral throbbing headache with nausea vomiting and phonophobia. it started 7 days ago and hasn't improved.
Varicose veins,My legs have swollen twisted veins that are very visible and painful. It started 5 days ago and hasn't improved. it's getting progressively worse.
Malaria,High fever alternating with chills and sweats with body pain and nausea. I've been feeling this way for about 5 days. This is the first time I've had this.
Migraine,Unilateral throbbing headache with nausea vomiting and phonophobia. It started 4 days ago and hasn't improved.
peptic ulcer disease,Epigastric pain that wakes me up at night with acid reflux. the symptoms are worsening daily.
urinary tract infection,stinging pain when peeing with dark cloudy urine and back pain. it's mild but persistent. i also feel generally unwell.
diabetes,i'm always thirsty urinating frequently and losing weight despite eating well.
urinary tract infection,burning urination with blood in urine and lower abdominal pain. this has been going on for 14 weeks now. i had something similar years ago.
Common Cold,stuffy nose with clear watery discharge and scratchy throat. it's mild but persistent. this has been going on for 2 weeks now. my appetite has decreased.
Malaria,intermittent fever with chills nausea vomiting and muscle pain. this has been going on for 9 weeks now. my family member had similar symptoms.
Chicken pox,my child has itchy vesicles on the trunk and face with low grade fever. it started 2 days ago and hasn't improved.
allergy,Sneezing fits with nasal congestion itchy eyes triggered by pollen. it comes and goes.
Bronchial Asthma,Shortness of breath with chest constriction and persistent dry cough. I had something similar years ago. This has been going on for 2 weeks now.
gastroesophageal reflux disease,frequent heartburn with belching bloating and chest discomfort. it's moderate in intensity. i've been feeling this way for about 6 days. i'm quite worried about it.
Impetigo,my child has honey-colored crusty sores spreading on the face and hands. i tried home remedies but nothing helps. the symptoms are worsening daily. this has been going on for 3 weeks now.
Chicken pox,i have itchy red blisters all over my body with mild fever. it started 9 days ago and hasn't improved.
Migraine,pounding headache with extreme light sensitivity and need to lie in dark room. i noticed this around 3 days back. i also feel generally unwell.
Chicken pox,widespread itchy rash with blisters crusting over and new ones appearing. i've been feeling this way for about 2 days. i haven't been sleeping well because of this.
Arthritis,swollen painful joints in my hands and knees with reduced range of motion. it's getting progressively worse. i've been feeling this way for about 1 days.
urinary tract infection,Constant urge to urinate with burning sensation and mild fever. I noticed this around 8 days back. I haven't been sleeping well because of this.
gastroesophageal reflux disease,burning sensation in my chest after eating with acid taste in mouth. i tried home remedies but nothing helps. it started 2 days ago and hasn't improved.
drug reaction,i developed a rash and itching all over after starting a new medication. it started 13 days ago and hasn't improved.
Pneumonia,severe cough with greenish phlegm high fever and chest pain when breathing. it's getting progressively worse. i haven't been sleeping well because of this. i've been feeling this way for about 4 days.
diabetes,Constant fatigue with increased hunger frequent urination and blurry vision. This has been going on for 2 weeks now. it's quite severe.
Fungal infection,ring-shaped rash on my groin area with burning and peeling skin. i've been more tired than usual. it comes and goes.
Typhoid,week-long fever with coated tongue muscle pain and general malaise. this has been going on for 13 weeks now. the symptoms are worsening daily.
Hypertension,throbbing headache with visual disturbances and pounding heartbeat. i've been feeling this way for about 3 days.
Bronchial Asthma,i have wheezing and difficulty breathing especially at night and during exercise. it's quite severe. i tried home remedies but nothing helps.
Dengue,High temperature with retro-orbital pain and bleeding gums. I noticed this around 3 days back. the symptoms are worsening daily.
peptic ulcer disease,Burning abdominal pain with loss of appetite and unintentional weight loss. it's quite severe. This has been going on for 2 weeks now.
Fungal infection,ring-shaped rash on my groin area with burning and peeling skin. it started 2 days ago and hasn't improved. i tried home remedies but nothing helps.
Impetigo,red sores on my face around nose and mouth that burst and form crusts. this has been going on for 1 weeks now. i tried home remedies but nothing helps. it fluctuates throughout the day.
gastroesophageal reflux disease,chronic chest burning with sour taste and difficulty swallowing. it's quite severe. i've been feeling this way for about 8 days.
Bronchial Asthma,My breathing gets worse with dust and cold air with chest tightness. it's mild but persistent. My appetite has decreased.
Bronchial Asthma,episodes of difficulty breathing with audible wheeze triggered by allergens.
Dimorphic hemorrhoids(piles),rectal bleeding with itchy swollen tissue around the anal area. it's mild but persistent. i've been feeling this way for about 8 days.
Dimorphic hemorrhoids(piles),Painful lumps near the anus that bleed when I strain during defecation. I noticed this around 10 days back.
urinary tract infection,Burning sensation when urinating with frequent urge to go and cloudy urine. I haven't been sleeping well because of this. it fluctuates throughout the day. This has been going on for 11 weeks now.
drug reaction,Widespread rash with peeling skin and mouth ulcers from a drug. it comes and goes. I haven't been sleeping well because of this.
Bronchial Asthma,chronic cough at night with wheezing and feeling of suffocation. it's affecting my daily routine. it's getting progressively worse. it started 4 days ago and hasn't improved.
Common Cold,Runny nose sore throat and general feeling of being unwell. It's affecting my daily routine. it's getting progressively worse. It started 10 days ago and hasn't improved.
Bronchial Asthma,recurrent episodes of breathlessness with dry cough and wheezing.
Cervical spondylosis,chronic neck pain with numbness and tingling in my fingers. i also feel generally unwell. this has been going on for 6 weeks now.
Arthritis,bilateral joint swelling with tenderness and difficulty gripping objects. i tried home remedies but nothing helps. this has been going on for 10 weeks now.
Migraine,One-sided head pain with zigzag visual patterns nausea and photophobia. I haven't been sleeping well because of this.
Hypertension,I have frequent headaches dizziness and my blood pressure readings are high. It started 5 days ago and hasn't improved. This is the first time I've had this.
Acne,Hormonal breakouts along jawline with deep nodular lesions. I've been feeling this way for about 10 days. My appetite has decreased. it's mild but persistent.
Dimorphic hemorrhoids(piles),rectal bleeding with itchy swollen tissue around the anal area. this has been going on for 8 weeks now. my family member had similar symptoms. it comes and goes.
peptic ulcer disease,Burning abdominal pain with loss of appetite and unintentional weight loss.
Fungal infection,Circular rash with clear center and red scaly border on my torso. It started 5 days ago and hasn't improved.
Migraine,one-sided head pain with zigzag visual patterns nausea and photophobia. i noticed this around 14 days back. i've been more tired than usual.
Impetigo,blisters that ooze and form yellowish brown scabs near the mouth. the symptoms are worsening daily. i've been more tired than usual. i noticed this around 11 days back.
urinary tract infection,urgency to urinate with dysuria and suprapubic discomfort. i've been feeling this way for about 10 days.
Pneumonia,persistent cough with rust-colored sputum fever and shortness of breath. it's moderate in intensity.
Fungal infection,white patches on skin with flaking and itching especially after sweating. my appetite has decreased. i noticed this around 11 days back.
Dengue,High temperature with retro-orbital pain and bleeding gums. the symptoms are worsening daily. It started 13 days ago and hasn't improved.
peptic ulcer disease,Gnawing pain in upper abdomen with bloating nausea and vomiting. This has been going on for 13 weeks now. I had something similar years ago. it's mild but persistent.
Fungal infection,Ring-shaped rash on my groin area with burning and peeling skin. it's moderate in intensity. It started 13 days ago and hasn't improved.
drug reaction,skin eruption with fever and swollen lymph nodes after taking antibiotics. it started 10 days ago and hasn't improved. it's moderate in intensity.
urinary tract infection,I need to urinate constantly but only small amounts come out with burning. This has been going on for 2 weeks now. My family member had similar symptoms.
gastroesophageal reflux disease,Persistent heartburn with globus sensation and epigastric burning. I had something similar years ago.
Dengue,High fever for three days with extreme fatigue joint pain and nausea. I've been feeling this way for about 1 days.
Dengue,Very high fever with severe headache pain behind the eyes and joint pain.
Jaundice,yellow discoloration of skin with itching and clay-colored stools. i haven't been sleeping well because of this.
Varicose veins,i get heavy aching legs especially after standing for long periods. i tried home remedies but nothing helps.
Malaria,Cyclical fever pattern with intense chills sweating and weakness.
Jaundice,yellowish tint to skin and whites of eyes with nausea and fatigue. my appetite has decreased. i've been feeling this way for about 2 days.
Psoriasis,my skin has thick silvery scales and dry cracked areas that sometimes bleed. it's moderate in intensity.
Cervical spondylosis,Grinding noise when turning neck with stiffness and arm weakness. This has been going on for 5 weeks now.
allergy,Sneezing fits with nasal congestion itchy eyes triggered by pollen. I noticed this around 10 days back.
Fungal infection,itchy moist area in skin folds with reddish discoloration.
Dengue,very high fever with severe headache pain behind the eyes and joint pain. it's mild but persistent. my appetite has decreased. this has been going on for 10 weeks now.
Chicken pox,small fluid-filled blisters appeared on my chest face and back with itching. i'm quite worried about it. it fluctuates throughout the day. it started 13 days ago and hasn't improved.
Acne,Red inflamed papules and pustules on cheeks with excess oil production. it's getting progressively worse. I noticed this around 7 days back.
Chicken pox,i have itchy red blisters all over my body with mild fever. it's getting progressively worse. this is the first time i've had this.
peptic ulcer disease,Stomach pain relieved by food but returns hours later with bloating. the symptoms are worsening daily. It's affecting my daily routine.
Varicose veins,Swollen veins on my lower legs with itching and a burning sensation. I also feel generally unwell. I've been feeling this way for about 3 days.
Cervical spondylosis,Neck pain with dizziness and radiating arm pain with numbness. This has been going on for 13 weeks now. I had something similar years ago.
Migraine,recurring severe headaches preceded by flashing lights and numbness. it's getting progressively worse. i've been more tired than usual. it started 7 days ago and hasn't improved.
Jaundice,my skin and eyes have turned yellow with dark urine and pale stools. this has been going on for 5 weeks now.
Impetigo,Blisters that ooze and form yellowish brown scabs near the mouth. I've been feeling this way for about 1 days. it fluctuates throughout the day.
gastroesophageal reflux disease,Persistent heartburn with globus sensation and epigastric burning. This has been going on for 11 weeks now. I'm quite worried about it.
Dengue,Fever with intense joint pain nausea vomiting and fatigue. it comes and goes. It started 14 days ago and hasn't improved. I tried home remedies but nothing helps.
allergy,Nasal congestion with itchy watery eyes and scratchy throat from pet dander. it comes and goes. I noticed this around 10 days back.
Dimorphic hemorrhoids(piles),Painful lumps near the anus that bleed when I strain during defecation. it's mild but persistent. This is the first time I've had this. I've been feeling this way for about 9 days.
Jaundice,my skin and eyes have turned yellow with dark urine and pale stools. it fluctuates throughout the day.
Pneumonia,chest tightness with painful breathing rapid heartbeat and cough with phlegm.
Arthritis,Chronic joint pain with morning stiffness lasting more than an hour. My appetite has decreased. I've been feeling this way for about 14 days.
Jaundice,Dark brown urine with jaundiced skin and tenderness below right ribs. I noticed this around 6 days back. it's moderate in intensity.
Hypertension,chronic headaches with face flushing and anxiety about elevated pressure. i also feel generally unwell.
Psoriasis,I've had persistent skin redness with flaky patches spreading on my scalp. it's getting progressively worse. It started 8 days ago and hasn't improved.
Jaundice,progressive yellowing of skin with itching fatigue and poor appetite. my appetite has decreased. i've been feeling this way for about 9 days.
Dimorphic hemorrhoids(piles),Swollen painful hemorrhoids that protrude during straining. it's getting progressively worse.
Chicken pox,red bumps that turned into tiny blisters with clear fluid and mild fever. this is the first time i've had this. i noticed this around 2 days back. it comes and goes.
Varicose veins,I get heavy aching legs especially after standing for long periods. I'm quite worried about it. This has been going on for 9 weeks now.
urinary tract infection,pain during urination with strong smelling urine and pelvic pressure. it fluctuates throughout the day. i also feel generally unwell. it started 10 days ago and hasn't improved.
allergy,Allergic reaction with swollen lips itching and red blotchy skin. it fluctuates throughout the day. This is the first time I've had this. It started 13 days ago and hasn't improved.
Dengue,fever with intense joint pain nausea vomiting and fatigue. it's quite severe.
Jaundice,my skin and eyes have turned yellow with dark urine and pale stools. i've been feeling this way for about 5 days. it comes and goes.
urinary tract infection,Stinging pain when peeing with dark cloudy urine and back pain. it's quite severe. This has been going on for 12 weeks now.
Hypertension,I have frequent headaches dizziness and my blood pressure readings are high. it comes and goes. I've been feeling this way for about 12 days.
allergy,seasonal symptoms with runny nose itchy eyes and constant sneezing. it's moderate in intensity.
Malaria,high fever with rigors profuse sweating and extreme fatigue. i tried home remedies but nothing helps. it fluctuates throughout the day. i've been feeling this way for about 6 days.
Impetigo,My child has honey-colored crusty sores spreading on the face and hands. it fluctuates throughout the day. I noticed this around 13 days back.
Cervical spondylosis,Neck pain with dizziness and radiating arm pain with numbness. the symptoms are worsening daily. I had something similar years ago.
Migraine,severe throbbing headache on one side with nausea and sensitivity to light. i've been feeling this way for about 8 days. the symptoms are worsening daily.
Migraine,Severe throbbing headache on one side with nausea and sensitivity to light. This has been going on for 11 weeks now.
peptic ulcer disease,gnawing pain in upper abdomen with bloating nausea and vomiting. it started 9 days ago and hasn't improved.
diabetes,I'm always thirsty urinating frequently and losing weight despite eating well. it's getting progressively worse.
Cervical spondylosis,pain in my neck spreading to arms with occasional muscle weakness. i've been feeling this way for about 5 days. it's quite severe.
Pneumonia,High fever shaking chills and cough producing thick yellow mucus. It started 5 days ago and hasn't improved. it's getting progressively worse.
Malaria,Cyclical fever pattern with intense chills sweating and weakness. it's getting progressively worse.
urinary tract infection,I need to urinate constantly but only small amounts come out with burning. This has been going on for 12 weeks now. it's mild but persistent. This is the first time I've had this.
Dengue,acute fever headache myalgia and petechial rash on arms. i've been feeling this way for about 5 days.
Bronchial Asthma,i have wheezing and difficulty breathing especially at night and during exercise. i've been feeling this way for about 4 days. i've been more tired than usual.
Impetigo,red painful sores that became crusty and are spreading to other areas. it started 12 days ago and hasn't improved.
Hypertension,Frequent dizziness headaches and shortness of breath on exertion. the symptoms are worsening daily. This is the first time I've had this. This has been going on for 2 weeks now.
Acne,Painful red bumps and whiteheads breaking out on my cheeks and jawline. I've been feeling this way for about 8 days. I'm quite worried about it.
peptic ulcer disease,burning pain between meals with bloating belching and poor appetite. i noticed this around 1 days back. it fluctuates throughout the day.
allergy,Seasonal symptoms with runny nose itchy eyes and constant sneezing. it's mild but persistent. My family member had similar symptoms. It started 10 days ago and hasn't improved.
gastroesophageal reflux disease,chest pain after meals with acid coming up into throat. the symptoms are worsening daily.
allergy,nasal congestion with itchy watery eyes and scratchy throat from pet dander. the symptoms are worsening daily. this has been going on for 4 weeks now.
Dengue,I feel terrible with high fever body aches and a flat red rash appearing. This has been going on for 11 weeks now.
Arthritis,joint pain and stiffness that gets worse with cold weather and inactivity. it comes and goes.
Cervical spondylosis,Chronic neck pain worse in the morning with shoulder blade discomfort. I've been feeling this way for about 1 days. My family member had similar symptoms. it comes and goes.
Varicose veins,Bulging blue purple veins on my calves with occasional cramping at night. It started 12 days ago and hasn't improved.
Impetigo,Crusty skin lesions near mouth and chin that appeared after a scratch. I've been feeling this way for about 5 days. I haven't been sleeping well because of this.
Bronchial Asthma,chronic cough at night with wheezing and feeling of suffocation. i've been more tired than usual.
Fungal infection,White patches on skin with flaking and itching especially after sweating. This has been going on for 8 weeks now.
Typhoid,fever that won't go down with poor appetite nausea and abdominal tenderness.
gastroesophageal reflux disease,Frequent heartburn with belching bloating and chest discomfort. I noticed this around 12 days back. I tried home remedies but nothing helps.
Bronchial Asthma,wheezing attacks with rapid breathing and inability to catch my breath. i noticed this around 8 days back. it's getting progressively worse.
allergy,Breaking out in hives with itching after contact with certain materials. the symptoms are worsening daily. It started 13 days ago and hasn't improved. I haven't been sleeping well because of this.
Common Cold,persistent sneezing with congestion and post-nasal drip. this has been going on for 3 weeks now. my appetite has decreased. it's quite severe.
Malaria,intermittent fever with chills nausea vomiting and muscle pain. i also feel generally unwell. i've been feeling this way for about 11 days. it fluctuates throughout the day.
Arthritis,Swollen painful joints in my hands and knees with reduced range of motion. It's affecting my daily routine. it fluctuates throughout the day.
diabetes,fatigue with polydipsia polyuria and recurrent infections. it fluctuates throughout the day.
Malaria,periodic high temperature with headache and enlarged spleen area pain. i've been feeling this way for about 2 days.
Fungal infection,red scaly circular lesions on my arms that spread outward. i've been feeling this way for about 1 days. it's quite severe.
Pneumonia,chest tightness with painful breathing rapid heartbeat and cough with phlegm. i noticed this around 7 days back.
Varicose veins,i have throbbing pain in my legs with spider veins spreading on my shins. i had something similar years ago. this has been going on for 1 weeks now. it's getting progressively worse.
Malaria,cyclical fever pattern with intense chills sweating and weakness. the symptoms are worsening daily.
Typhoid,I've had fever for days with constipation then diarrhea and rose spots on chest. I'm quite worried about it. it's moderate in intensity.
Arthritis,chronic joint pain with morning stiffness lasting more than an hour. this is the first time i've had this.
Hypertension,chronic headaches with face flushing and anxiety about elevated pressure. it fluctuates throughout the day.
urinary tract infection,burning sensation when urinating with frequent urge to go and cloudy urine. it comes and goes. i've been feeling this way for about 13 days.
Varicose veins,My legs have swollen twisted veins that are very visible and painful. it's moderate in intensity. This is the first time I've had this.
Typhoid,i've had fever for days with constipation then diarrhea and rose spots on chest.
Migraine,Unilateral throbbing headache with nausea vomiting and phonophobia. it's getting progressively worse.
Common Cold,I caught a cold with blocked nose coughing and mild headache. I noticed this around 9 days back.
Common Cold,Persistent sneezing with congestion and post-nasal drip. it's quite severe.
Typhoid,I've had fever for days with constipation then diarrhea and rose spots on chest. This has been going on for 2 weeks now.
Malaria,fever spikes with violent shivering followed by drenching sweats. it started 3 days ago and hasn't improved. i've been more tired than usual.
gastroesophageal reflux disease,chronic chest burning with sour taste and difficulty swallowing. i tried home remedies but nothing helps. it started 12 days ago and hasn't improved. it's getting progressively worse.
Impetigo,Crusty skin lesions near mouth and chin that appeared after a scratch. It's affecting my daily routine. the symptoms are worsening daily. This has been going on for 3 weeks now.
Arthritis,Progressive joint stiffness with pain on movement and joint deformity. This has been going on for 9 weeks now. I had something similar years ago.
Dengue,high fever for three days with extreme fatigue joint pain and nausea. this has been going on for 7 weeks now.
diabetes,extreme thirst with frequent trips to bathroom and slow healing wounds. it started 8 days ago and hasn't improved. my family member had similar symptoms.
Dimorphic hemorrhoids(piles),Pain during bowel movements with bright red blood and anal swelling. the symptoms are worsening daily. This has been going on for 5 weeks now. I also feel generally unwell.
Common Cold,Nasal congestion watery eyes and occasional sneezing fits. I've been feeling this way for about 2 days. it comes and goes.
gastroesophageal reflux disease,persistent heartburn with globus sensation and epigastric burning. i also feel generally unwell. it comes and goes.
Bronchial Asthma,episodes of difficulty breathing with audible wheeze triggered by allergens. i haven't been sleeping well because of this. i've been feeling this way for about 8 days. it's getting progressively worse.
Hypertension,throbbing headache with visual disturbances and pounding heartbeat. it's affecting my daily routine. this has been going on for 3 weeks now. it's moderate in intensity.
Cervical spondylosis,Neck pain with dizziness and radiating arm pain with numbness. It started 14 days ago and hasn't improved. I've been more tired than usual.
